"pitches","player_id","player_name","total_pitches","pitch_percent","ba","iso","babip","slg","woba","xwoba","xba","hits","abs","launch_speed","launch_angle","spin_rate","velocity","effective_speed","whiffs","swings","takes","eff_min_vel","release_extension","pos3_int_start_distance","pos4_int_start_distance","pos5_int_start_distance","pos6_int_start_distance","pos7_int_start_distance","pos8_int_start_distance","pos9_int_start_distance"
"1418",543760,"Semien, Marcus","1418","100.0","0.278","0.242","0.324","0.520","0.369","0.325","0.238","85","306","89.8","17.8","2265","89.0","88.55","150","622","796","-0.5","6.24","107","152","118","146","300","323","288"
"1393",592192,"Canha, Mark","1393","100.0","0.255","0.196","0.301","0.450","0.363","0.361","0.252","69","271","89.0","15.4","2301","88.3","87.41","119","544","849","-0.9","6.34","108","153","120","147","302","326","293"
"1380",543257,"Grossman, Robbie","1380","100.0","0.228","0.158","0.280","0.386","0.319","0.325","0.227","62","272","88.7","19.3","2238","89.2","89.07","128","533","847","-0.1","6.28","115","157","115","150","293","324","297"
"1351",656305,"Chapman, Matt","1351","100.0","0.226","0.174","0.305","0.400","0.316","0.309","0.209","60","265","89.0","17.1","2257","89.1","88.07","203","596","755","-1.0","6.30","107","152","121","146","305","328","296"
"1348",607208,"Turner, Trea","1348","100.0","0.310","0.162","0.363","0.471","0.361","0.348","0.287","92","297","88.7","10.2","2281","89.2","88.99","146","634","714","-0.2","6.41","105","151","113","146","305","321","291"
"1328",656555,"Hoskins, Rhys","1328","100.0","0.230","0.227","0.261","0.457","0.328","0.345","0.239","65","282","91.1","20.6","2253","89.3","89.21","163","607","721","-0.1","6.33","107","153","121","147","302","326","295"
"1323",640457,"Meadows, Austin","1323","100.0","0.238","0.249","0.273","0.487","0.349","0.330","0.226","66","277","89.9","22.4","2221","89.1","88.67","163","608","714","-0.4","6.45","113","160","126","150","294","326","301"
"1321",666185,"Carlson, Dylan","1321","100.0","0.265","0.142","0.335","0.407","0.332","0.335","0.255","71","268","88.6","13.4","2238","88.5","88.14","160","560","761","-0.4","6.30","113","152","118","149","300","322","299"
"1319",663993,"Lowe, Nate","1319","100.0","0.257","0.151","0.333","0.408","0.340","0.348","0.248","70","272","91.3","7.0","2270","89.4","88.59","158","585","734","-0.8","6.21","114","160","125","152","298","330","306"
"1317",518692,"Freeman, Freddie","1317","100.0","0.254","0.218","0.267","0.471","0.355","0.412","0.302","71","280","92.4","13.6","2211","89.7","89.75","151","650","667","0.1","6.36","118","163","132","150","300","327","306"
"1308",660162,"Moncada, Yoán","1308","100.0","0.278","0.120","0.388","0.398","0.360","0.355","0.255","67","241","89.9","11.1","2261","89.3","88.80","152","528","780","-0.5","6.22","112","155","121","148","294","325","300"
"1300",621043,"Correa, Carlos","1300","100.0","0.305","0.235","0.327","0.540","0.402","0.377","0.297","83","272","90.7","12.4","2206","88.5","88.15","112","528","772","-0.4","6.34","108","152","120","147","301","329","290"
"1292",656775,"Mullins, Cedric","1292","100.0","0.312","0.226","0.358","0.538","0.392","0.346","0.272","91","292","88.5","13.5","2241","88.8","88.47","118","598","694","-0.3","6.34","107","146","99","150","288","320","298"
"1285",518934,"LeMahieu, DJ","1285","100.0","0.271","0.106","0.303","0.377","0.319","0.346","0.290","79","292","90.1","3.1","2250","89.3","89.21","90","548","737","-0.1","6.37","109","151","121","150","312","324","287"
"1284",592450,"Judge, Aaron","1284","100.0","0.285","0.221","0.355","0.506","0.383","0.432","0.324","75","263","96.6","10.5","2271","88.8","88.81","171","568","716","0.0","6.38","107","153","123","147","309","331","294"
"1281",669242,"Edman, Tommy","1281","100.0","0.259","0.109","0.284","0.367","0.294","0.317","0.274","81","313","86.3","7.5","2263","89.3","89.02","88","633","648","-0.3","6.36","116","151","112","150","294","319","298"
"1278",502671,"Goldschmidt, Paul","1278","100.0","0.253","0.165","0.293","0.418","0.322","0.372","0.280","72","285","93.0","17.3","2288","89.2","88.65","151","603","675","-0.5","6.31","106","152","121","147","309","325","297"
"1278",608336,"Gallo, Joey","1278","100.0","0.223","0.211","0.295","0.434","0.363","0.376","0.225","54","242","89.7","19.0","2257","88.6","87.75","200","525","753","-0.9","6.19","115","178","127","153","307","335","307"
"1272",593428,"Bogaerts, Xander","1272","100.0","0.327","0.227","0.368","0.554","0.401","0.379","0.301","88","269","88.8","11.2","2259","88.2","87.94","131","578","694","-0.3","6.27","106","151","120","147","296","324","297"
"1271",668227,"Arozarena, Randy","1271","100.0","0.266","0.160","0.351","0.426","0.336","0.289","0.214","75","282","90.4","8.0","2243","88.0","87.78","197","572","698","-0.2","6.49","106","152","117","148","302","327","294"
"1269",467793,"Santana, Carlos","1269","100.0","0.245","0.161","0.251","0.406","0.341","0.367","0.250","64","261","90.4","13.5","2186","88.9","88.57","127","539","730","-0.3","6.22","113","161","126","149","304","330","304"
"1268",641820,"Mancini, Trey","1268","100.0","0.256","0.204","0.294","0.460","0.342","0.374","0.286","73","285","88.9","9.7","2258","88.5","87.83","166","606","662","-0.7","6.35","107","151","121","147","306","325","291"
"1256",553993,"Suárez, Eugenio","1256","100.0","0.175","0.204","0.188","0.380","0.277","0.314","0.209","48","274","87.6","16.5","2255","88.4","88.08","168","535","721","-0.3","6.33","106","152","120","144","301","326","298"
